,band_singer,singer_url,active_years
0,['The Mamas & the Papas'],['/wiki/The_Mamas_%26_the_Papas'],1965–1968 1971 1998
1,['? and the Mysterians'],['/wiki/%3F_and_the_Mysterians'],1962–present
2,['Jimmy Ruffin'],['/wiki/Jimmy_Ruffin'],1955-2014
3,['The Monkees'],['/wiki/The_Monkees'],1966 2021
4,['Four Tops'],['/wiki/Four_Tops'],1953–present
5,['Nancy Sinatra'],['/wiki/Nancy_Sinatra'],1961–2013
6,['The Association'],['/wiki/The_Association'],1965–1978 1979–present
7,['Frank Sinatra'],['/wiki/Frank_Sinatra'],1935–1995
8,['Paul Revere & the Raiders'],['/wiki/Paul_Revere_%26_the_Raiders'],1958–1976 1978–2014
9,['SSgt Barry Sadler'],['/wiki/Barry_Sadler'],
10,['The Young Rascals'],['/wiki/The_Rascals'],1965 2013
11,['The Righteous Brothers'],['/wiki/The_Righteous_Brothers'],1962–1971 1974–1976 1981–2003 2016–present
12,['The Supremes'],['/wiki/The_Supremes'],1959
13,['Bobby Hebb'],['/wiki/Bobby_Hebb'],1955 2010
14,['The Happenings'],['/wiki/The_Happenings'],1961 1961 1970 1970
15,['Sam the Sham and the Pharaohs'],['/wiki/Sam_the_Sham'],1959–1982
16,['Lou Christie'],['/wiki/Lou_Christie'],1962–present
17,['Johnny Rivers'],['/wiki/Johnny_Rivers'],1956–present
18,['Lee Dorsey'],['/wiki/Lee_Dorsey'],1986
19,['The Mindbenders'],['/wiki/The_Mindbenders'],1963–1968
20,['Dusty Springfield'],['/wiki/Dusty_Springfield'],1958–1995
21,['Donovan'],['/wiki/Donovan'],1964–present
22,['Sandy Posey'],['/wiki/Sandy_Posey'],1965–present
23,['The Mamas & the Papas'],['/wiki/The_Mamas_%26_the_Papas'],1965–1968 1971 1998
24,['The Cyrkle'],['/wiki/The_Cyrkle'],1961–1968 2016–present
25,['Roger Williams'],['/wiki/Roger_Williams_(pianist)'],1955–2011
26,['The Left Banke'],['/wiki/The_Left_Banke'],1965–1969 1971 1978 2011–2012 2015
27,['The Capitols'],['/wiki/The_Capitols'],1962–1969
28,['Carla Thomas'],['/wiki/Carla_Thomas'],1960–present
29,['Tommy James and the Shondells'],['/wiki/Tommy_James_and_the_Shondells'],1964 1964
30,['Percy Sledge'],['/wiki/Percy_Sledge'],1960–2014
31,['The Outsiders'],['/wiki/The_Outsiders_(American_band)'],1965–1970
32,['The Hollies'],['/wiki/The_Hollies'],1962 1962
33,['The Rolling Stones'],['/wiki/The_Rolling_Stones'],1962–present
34,"[""The Lovin' Spoonful""]",['/wiki/The_Lovin%27_Spoonful'],1965–1969 1979 1991–present
35,['B. J. Thomas & the Triumphs'],['/wiki/B._J._Thomas'],1966–2021
36,['Petula Clark'],['/wiki/Petula_Clark'],1940–present
37,"[""The Lovin' Spoonful""]",['/wiki/The_Lovin%27_Spoonful'],1965–1969 1979 1991–present
38,['The Temptations'],['/wiki/The_Temptations'],1960–present
39,['The Troggs'],['/wiki/The_Troggs'],1964 1964
40,['Bob Lind'],['/wiki/Bob_Lind'],1965–present
41,['Simon & Garfunkel'],['/wiki/Simon_%26_Garfunkel'],1956 2010
42,['The Standells'],['/wiki/The_Standells'],1962–present
43,['Tommy Roe'],['/wiki/Tommy_Roe'],1959–2018
44,['Ray Charles'],['/wiki/Ray_Charles'],1947–2004
45,['Tommy Roe'],['/wiki/Tommy_Roe'],1959–2018
46,['Johnny Rivers'],['/wiki/Johnny_Rivers'],1956–present
47,"[""The Lovin' Spoonful""]",['/wiki/The_Lovin%27_Spoonful'],1965–1969 1979 1991–present
48,['The Beatles'],['/wiki/The_Beatles'],1960–1970
49,['Simon & Garfunkel'],['/wiki/Simon_%26_Garfunkel'],1956 2010
50,['Stevie Wonder'],['/wiki/Stevie_Wonder'],1961–present
51,['Cher'],['/wiki/Cher'],1963–present
52,['The Beach Boys'],['/wiki/The_Beach_Boys'],1961–present
53,['The Rolling Stones'],['/wiki/The_Rolling_Stones'],1962–present
54,['The Surfaris'],['/wiki/The_Surfaris'],1962–1966 1973 1976 1981–2017 2000
55,['Count Five'],['/wiki/Count_Five'],1964 1964 1969 1969
56,['The Beatles'],['/wiki/The_Beatles'],1960–1970
57,['The Temptations'],['/wiki/The_Temptations'],1960–present
58,['The T-Bones'],['/wiki/The_T-Bones'],
59,['Robert Parker'],['/wiki/Robert_Parker_(singer)'],1949–2009
60,['Paul Revere & the Raiders'],['/wiki/Paul_Revere_%26_the_Raiders'],1958–1976 1978–2014
61,['Deon Jackson'],['/wiki/Deon_Jackson_(singer)'],
62,['Crispian St. Peters'],['/wiki/Crispian_St._Peters'],2001
63,['Ray Conniff Singers'],['/wiki/Ray_Conniff_Singers'],
64,['David Houston'],['/wiki/David_Houston_(singer)'],1963–1989
65,['Bobby Darin'],['/wiki/Bobby_Darin'],1956–1973
66,['The Marvelettes'],['/wiki/The_Marvelettes'],1960–1971
67,['Neil Diamond'],['/wiki/Neil_Diamond'],1962–present
68,['Dionne Warwick'],['/wiki/Dionne_Warwick'],1955–present
69,['Lou Rawls'],['/wiki/Lou_Rawls'],1941–2006
70,['The Shadows of Knight'],['/wiki/The_Shadows_of_Knight'],1964–2022
71,['The Supremes'],['/wiki/The_Supremes'],1959
72,['The Beach Boys'],['/wiki/The_Beach_Boys'],1961–present
73,['Bob Dylan'],['/wiki/Bob_Dylan'],1959–present
74,['The Sandpipers'],['/wiki/The_Sandpipers'],1966–1975
75,['James & Bobby Purify'],['/wiki/James_%26_Bobby_Purify'],1965–1971 1974
76,['Wilson Pickett'],['/wiki/Wilson_Pickett'],1955–2006
77,['The Shades of Blue'],['/wiki/The_Shades_of_Blue'],
78,['Peter and Gordon'],['/wiki/Peter_and_Gordon'],1962–1968 2005–2009
79,['The Turtles'],['/wiki/The_Turtles'],1965
80,['The Chiffons'],['/wiki/The_Chiffons'],1960–present
81,['The Vogues'],['/wiki/The_Vogues'],1963–present
82,['Los Bravos'],['/wiki/Los_Bravos'],1965–1971
83,['The Beatles'],['/wiki/The_Beatles'],1960–1970
84,"[""Herman's Hermits""]",['/wiki/Herman%27s_Hermits'],1964–present
85,['Slim Harpo'],['/wiki/Slim_Harpo'],1950–1970
86,['Gary Lewis & The Playboys'],['/wiki/Gary_Lewis_%26_The_Playboys'],1964–1970
87,['Chris Montez'],['/wiki/Chris_Montez'],1962–present
88,['Bobby Fuller Four'],['/wiki/Bobby_Fuller'],1958–1966
89,['The Beatles'],['/wiki/The_Beatles'],1960–1970
90,['Paul Revere & the Raiders'],['/wiki/Paul_Revere_%26_the_Raiders'],1958–1976 1978–2014
91,['Herb Alpert and the Tijuana Brass'],['/wiki/Herb_Alpert_and_the_Tijuana_Brass'],1956–present
92,['The Yardbirds'],['/wiki/The_Yardbirds'],1963–1968 1992–present
93,['The Association'],['/wiki/The_Association'],1965–1978 1979–present
94,['Wilson Pickett'],['/wiki/Wilson_Pickett'],1955–2006
95,['Mitch Ryder & the Detroit Wheels'],['/wiki/Mitch_Ryder'],1962–present
96,['The Beach Boys'],['/wiki/The_Beach_Boys'],1961–present
97,['The Isley Brothers'],['/wiki/The_Isley_Brothers'],1954–present
98,['Gary Lewis & The Playboys'],['/wiki/Gary_Lewis_%26_The_Playboys'],1964–1970
99,['The Kinks'],['/wiki/The_Kinks'],1963–1996
